sample_id,ambient_temp_C,coal_surface_temp_C,delta_T_C,delta_T_rate_per_hr,humidity_pct,solar_radiation_Wm2,wind_speed_kmh,rainfall_last_24h_mm,soil_moisture_pct,coal_surface_moisture_pct,pile_age_days,coal_type_volatile_pct,pile_compaction,crack_width_mm,hotspot_detected,vegetation_stress_index,shc_risk,data_source
SYN-00001,28.2,54.9,26.67,3.864,45.7,564.8,13.1,20.8,7.5,3.6,73,31.4,1,1.79,0,1,0,synthetic_physics_based
SYN-00002,40.9,67.0,26.1,1.541,44.8,774.9,3.9,0.0,17.4,9.4,71,18.6,0,2.15,0,1,0,synthetic_physics_based
SYN-00003,36.1,56.4,20.29,2.995,84.4,734.1,17.5,17.3,9.2,2.7,48,29.7,1,4.23,0,0,0,synthetic_physics_based
SYN-00004,33.2,52.0,18.82,0.515,45.0,188.5,12.5,0.0,11.4,4.3,74,29.1,0,3.55,0,2,0,synthetic_physics_based
SYN-00005,23.4,35.6,12.17,1.144,46.3,184.3,3.6,8.1,8.2,8.3,9,24.9,1,1.98,0,0,0,synthetic_physics_based
SYN-00006,23.4,42.9,19.48,1.426,75.6,291.4,19.3,1.7,11.0,4.2,86,22.0,1,4.95,0,2,0,synthetic_physics_based
SYN-00007,21.3,35.7,14.45,1.145,57.0,375.0,10.6,13.7,15.9,6.1,23,34.2,0,1.92,0,0,0,synthetic_physics_based
SYN-00008,39.1,57.3,18.21,1.79,76.6,417.6,1.9,0.0,5.1,1.7,71,19.1,1,1.25,0,1,0,synthetic_physics_based
SYN-00009,33.2,56.2,23.02,0.554,33.9,661.7,12.7,0.0,5.0,3.4,73,19.4,1,0.58,0,2,1,synthetic_physics_based
SYN-00010,35.6,43.9,8.37,1.113,59.3,101.0,5.4,23.3,16.0,9.6,27,26.8,0,0.72,0,0,0,synthetic_physics_based
SYN-00011,20.5,30.4,9.98,4.477,32.0,81.2,16.2,0.0,17.8,8.3,88,23.1,0,0.69,0,2,1,synthetic_physics_based
SYN-00012,41.3,71.4,30.09,1.556,33.8,402.7,16.4,0.0,13.5,7.6,81,32.9,0,2.68,1,2,1,synthetic_physics_based
SYN-00013,38.3,68.0,29.65,3.392,84.4,677.4,19.6,0.0,6.5,2.7,84,30.7,1,0.38,0,2,1,synthetic_physics_based
SYN-00014,24.7,54.8,30.1,2.601,38.4,224.1,10.3,15.2,11.2,6.4,71,33.5,1,1.4,1,2,1,synthetic_physics_based
SYN-00015,24.0,39.4,15.44,0.703,61.9,627.4,9.4,24.1,17.4,9.1,43,24.5,0,0.95,0,1,0,synthetic_physics_based
SYN-00016,24.0,28.5,4.48,1.027,54.7,283.8,15.2,0.0,16.0,7.8,7,32.8,0,0.63,0,0,0,synthetic_physics_based
SYN-00017,26.7,73.8,47.12,1.207,50.8,847.5,3.1,0.0,5.1,1.8,83,35.2,1,2.55,1,1,1,synthetic_physics_based
SYN-00018,31.5,60.8,29.26,3.584,84.0,856.1,11.2,0.0,21.4,8.5,63,24.9,1,0.74,0,1,1,synthetic_physics_based
SYN-00019,29.5,47.6,18.13,1.472,31.3,317.6,11.2,7.2,7.2,3.7,84,24.8,1,2.01,0,2,0,synthetic_physics_based
SYN-00020,26.4,44.1,17.73,1.301,69.8,257.0,2.2,0.0,7.2,3.8,44,36.0,1,4.84,0,1,0,synthetic_physics_based
SYN-00021,33.5,41.3,7.82,0.242,87.8,420.2,8.7,10.9,11.7,4.3,39,19.0,0,5.27,0,0,0,synthetic_physics_based
SYN-00022,23.1,36.5,13.43,0.947,63.6,266.5,17.1,0.0,9.2,4.6,40,25.0,0,1.02,0,0,0,synthetic_physics_based
SYN-00023,26.4,34.7,8.29,1.385,86.2,655.1,17.2,0.0,21.7,11.5,7,20.4,0,0.36,0,0,0,synthetic_physics_based
SYN-00024,28.1,58.7,30.64,1.927,33.1,793.5,2.4,0.0,4.5,1.0,70,18.6,1,2.72,1,2,1,synthetic_physics_based
SYN-00025,30.0,46.2,16.18,0.294,55.1,655.8,2.3,3.4,8.8,3.7,25,20.3,0,0.94,0,0,0,synthetic_physics_based
